,Real GDP per Capita in the Republic of Korea (South Korea) (DISCONTINUED),Real GDP per Employed Person in the United States (DISCONTINUED),Real GDP per Hour Worked in the United States (DISCONTINUED),Real Gross Domestic Product for United Kingdom,Real Gross Domestic Product for Germany,Real Gross Domestic Product (Euro/ECU series) for Euro area (19 countries),Dates of U.S. recessions as inferred by GDP-based recession indicator,GDP-Based Recession Indicator Index,GDPNow,Nowcast for Real Personal Consumption Expenditures,Nowcast for Real Final Sales of Domestic Product
1960-01-01,1537.0,46951.0,,,,,,,,,
1960-04-01,,,,,,,,,,,
1960-07-01,,,,,,,,,,,
1960-10-01,,,,,,,,,,,
1961-01-01,1579.0,48026.0,,,,,,,,,
1961-04-01,,,,,,,,,,,
1961-07-01,,,,,,,,,,,
1961-10-01,,,,,,,,,,,
1962-01-01,1567.0,50049.0,,,,,,,,,
1962-04-01,,,,,,,,,,,
1962-07-01,,,,,,,,,,,
1962-10-01,,,,,,,,,,,
1963-01-01,1663.0,51519.0,,,,,,,,,
1963-04-01,,,,,,,,,,,
1963-07-01,,,,,,,,,,,
1963-10-01,,,,,,,,,,,
1964-01-01,1777.0,53332.0,,,,,,,,,
1964-04-01,,,,,,,,,,,
1964-07-01,,,,,,,,,,,
1964-10-01,,,,,,,,,,,
1965-01-01,1832.0,55397.0,,,,,,,,,
1965-04-01,,,,,,,,,,,
1965-07-01,,,,,,,,,,,
1965-10-01,,,,,,,,,,,
1966-01-01,2004.0,57295.0,,,,,,,,,
1966-04-01,,,,,,,,,,,
1966-07-01,,,,,,,,,,,
1966-10-01,,,,,,,,,,,
1967-01-01,2073.0,57383.0,,,,,,,,,
1967-04-01,,,,,,,,,,,
1967-07-01,,,,,,,,,,,
1967-10-01,,,,,,,0.0,3.834800000000005,,,
1968-01-01,2255.0,58922.0,,,,,0.0,1.7614000000000019,,,
1968-04-01,,,,,,,0.0,1.2127,,,
1968-07-01,,,,,,,0.0,2.3008999999999946,,,
1968-10-01,,,,,,,0.0,6.3338,,,
1969-01-01,2510.0,59294.0,,,,,0.0,12.950099999999997,,,
1969-04-01,,,,,,,1.0,20.460500000000003,,,
1969-07-01,,,,,,,1.0,45.702799999999996,,,
1969-10-01,,,,,,,1.0,89.2282,,,
1970-01-01,2671.0,59075.0,30.9,,,,1.0,97.60567,,,
1970-04-01,,,,,,,1.0,91.58425,,,
1970-07-01,,,,,,,1.0,94.99551,,,
1970-10-01,,,,,,,1.0,94.65547,,,
1971-01-01,2892.0,60822.0,32.08,,,,0.0,15.872900000000001,,,
1971-04-01,,,,,,,0.0,10.011499999999995,,,
1971-07-01,,,,,,,0.0,12.151800000000001,,,
1971-10-01,,,,,,,0.0,3.5814000000000012,,,
1972-01-01,3024.0,62223.0,32.88,,,,0.0,0.9639999999999982,,,
1972-04-01,,,,,,,0.0,0.27599999999999847,,,
1972-07-01,,,,,,,0.0,0.7746000000000031,,,
1972-10-01,,,,,,,0.0,0.3638999999999948,,,
1973-01-01,3410.0,63727.0,33.7,,,,0.0,0.7199999999999984,,,
1973-04-01,,,,,,,0.0,10.029600000000006,,,
1973-07-01,,,,,,,0.0,19.884100000000004,,,
1973-10-01,,,,,,,1.0,71.9536,,,
1974-01-01,3666.0,62213.0,33.4,,,,1.0,99.648569,,,
1974-04-01,,,,,,,1.0,99.17425899999999,,,
1974-07-01,,,,,,,1.0,99.342038,,,
1974-10-01,,,,,,,1.0,99.9832416,,,
1975-01-01,3870.0,62785.0,34.31,180405.0,,,1.0,99.9865102,,,
1975-04-01,,,,177442.3,,,0.0,42.8397,,,
1975-07-01,,,,176835.5,,,0.0,0.06720000000000059,,,
1975-10-01,,,,178863.1,,,0.0,0.4978000000000038,,,
1976-01-01,4321.0,64064.0,35.13,181693.7,,,0.0,0.07509999999999462,,,
1976-04-01,,,,181393.5,,,0.0,0.925699999999996,,,
1976-07-01,,,,183664.4,,,0.0,1.6889000000000043,,,
1976-10-01,,,,187560.4,,,0.0,2.409300000000003,,,
1977-01-01,4757.0,64693.0,35.5,187613.7,,,0.0,0.27359999999999607,,,
1977-04-01,,,,186310.5,,,0.0,0.38529999999999953,,,
1977-07-01,,,,187608.3,,,0.0,0.6147000000000014,,,
1977-10-01,,,,190827.0,,,0.0,7.3542,,,
1978-01-01,5168.0,65508.0,35.79,192529.0,,,0.0,11.924500000000005,,,
1978-04-01,,,,194771.8,,,0.0,0.29360000000000497,,,
1978-07-01,,,,197449.6,,,0.0,2.0132999999999956,,,
1978-10-01,,,,199240.3,,,0.0,0.8237999999999968,,,
1979-01-01,5517.0,65717.0,35.94,198533.1,,,0.0,48.534299999999995,,,
1979-04-01,,,,207302.7,,,1.0,69.9795,,,
1979-07-01,,,,202701.3,,,1.0,40.422999999999995,,,
1979-10-01,,,,204845.6,,,1.0,39.009499999999996,,,
1980-01-01,5329.0,65217.0,35.94,202901.2,,,1.0,81.7206,,,
1980-04-01,,,,198842.4,,,1.0,99.84910099999999,,,
1980-07-01,,,,198646.1,,,0.0,36.712900000000005,,,
1980-10-01,,,,196470.2,,,0.0,6.7876999999999965,,,
1981-01-01,5635.0,66133.0,36.78,196223.3,,,0.0,1.5912000000000037,,,
1981-04-01,,,,196624.9,,,1.0,60.2406,,,
1981-07-01,,,,198742.9,,,1.0,78.8921,,,
1981-10-01,,,,198991.6,,,1.0,98.99230999999999,,,
1982-01-01,6008.0,65380.0,36.61,199378.6,,,1.0,99.071215,,,
1982-04-01,,,,201503.9,,,1.0,78.71719999999999,,,
1982-07-01,,,,202025.7,,,0.0,92.21919,,,
1982-10-01,,,,203445.6,,,0.0,84.5,,,
1983-01-01,6642.0,67453.0,37.59,207170.7,,,0.0,31.614600000000003,,,
1983-04-01,,,,208942.3,,,0.0,0.5399000000000043,,,
1983-07-01,,,,211229.5,,,0.0,0.29879999999999907,,,
1983-10-01,,,,213054.5,,,0.0,0.7422999999999957,,,
1984-01-01,7207.0,69475.0,38.35,214529.5,,,0.0,0.06129999999999747,,,
1984-04-01,,,,212651.1,,,0.0,0.5825999999999998,,,
1984-07-01,,,,214026.7,,,0.0,7.260500000000003,,,
1984-10-01,,,,218259.1,,,0.0,6.880299999999995,,,
1985-01-01,7670.0,70921.0,39.05,220048.9,,,0.0,29.9844,,,
1985-04-01,,,,224709.1,,,0.0,18.974000000000004,,,
1985-07-01,,,,224905.3,,,0.0,17.205,,,
1985-10-01,,,,225448.8,,,0.0,26.558899999999998,,,
1986-01-01,8523.0,71766.0,39.93,228005.5,,,0.0,9.981200000000001,,,
1986-04-01,,,,229697.6,,,0.0,19.779000000000003,,,
1986-07-01,,,,230743.0,,,0.0,16.213900000000002,,,
1986-10-01,,,,234865.1,,,0.0,13.8915,,,
1987-01-01,9475.0,72217.0,40.12,237048.3,,,0.0,6.770699999999996,,,
1987-04-01,,,,240525.6,,,0.0,5.842400000000003,,,
1987-07-01,,,,246369.6,,,0.0,2.4428000000000005,,,
1987-10-01,,,,249159.6,,,0.0,2.2719999999999962,,,
1988-01-01,10476.0,73586.0,40.56,253600.0,,,0.0,3.076599999999996,,,
1988-04-01,,,,255094.9,,,0.0,5.381400000000003,,,
1988-07-01,,,,258980.1,,,0.0,7.7538,,,
1988-10-01,,,,261210.3,,,0.0,4.1657000000000055,,,
1989-01-01,11074.0,74712.0,40.88,262361.5,,,0.0,4.9025,,,
1989-04-01,,,,264088.9,,,0.0,5.602300000000005,,,
1989-07-01,,,,264352.0,,,0.0,9.272999999999998,,,
1989-10-01,,,,264603.4,,,1.0,12.4675,,,
1990-01-01,11985.0,75227.0,41.57,266386.8,,,1.0,28.883800000000004,,,
1990-04-01,,,,267755.2,,,1.0,40.5987,,,
1990-07-01,,,,264959.8,,,1.0,79.5802,,,
1990-10-01,,,,264048.2,,,1.0,95.06845,,,
1991-01-01,13019.0,75754.0,42.07,263277.6,513571.3,,1.0,97.02841,,,
1991-04-01,,,,262945.7,510852.9,,0.0,90.22813,,,
1991-07-01,,,,262371.5,509737.6,,0.0,80.7474,,,
1991-10-01,,,,262827.3,516359.4,,0.0,78.3073,,,
1992-01-01,13627.0,77920.0,43.47,262846.3,524218.3,,0.0,62.6369,,,
1992-04-01,,,,262536.1,520175.6,,0.0,53.5841,,,
1992-07-01,,,,264208.2,519269.6,,0.0,23.862700000000004,,,
1992-10-01,,,,266048.6,517596.7,,0.0,14.1814,,,
1993-01-01,14344.0,79081.0,43.68,267973.1,513867.5,,0.0,35.3155,,,
1993-04-01,,,,269301.6,513728.1,,0.0,20.858900000000002,,,
1993-07-01,,,,271423.3,516795.1,,0.0,8.394400000000001,,,
1993-10-01,,,,273224.8,516307.2,,0.0,2.597000000000005,,,
1994-01-01,15446.0,80521.0,44.08,276437.1,523521.5,,0.0,4.437199999999997,,,
1994-04-01,,,,279663.0,524776.2,,0.0,3.9198999999999984,,,
1994-07-01,,,,282859.0,528470.3,,0.0,2.8478000000000003,,,
1994-10-01,,,,284574.6,534673.6,,0.0,2.636700000000003,,,
1995-01-01,16656.0,81408.0,44.1,284908.8,532896.3,1836915.8,0.0,11.770899999999996,,,
1995-04-01,,,,285982.3,536799.8,1847801.4,0.0,9.750300000000001,,,
1995-07-01,,,,288712.8,537845.4,1852389.8,0.0,32.802200000000006,,,
1995-10-01,,,,289250.3,537984.8,1858450.1,0.0,32.5109,,,
1996-01-01,17684.0,83305.0,45.19,290923.9,533523.5,1861874.0,0.0,21.1399,,,
1996-04-01,,,,291933.9,540772.9,1875002.4,0.0,10.509800000000002,,,
1996-07-01,,,,295311.4,542724.6,1884982.2,0.0,7.6793,,,
1996-10-01,,,,299309.0,546697.8,1893763.7,0.0,5.046700000000004,,,
1997-01-01,18529.0,85154.0,45.86,305004.5,543769.9,1898340.2,0.0,4.299299999999995,,,
1997-04-01,,,,307689.0,550810.1,1921384.1,0.0,4.372399999999999,,,
1997-07-01,,,,309854.9,552692.1,1937355.6,0.0,4.429399999999994,,,
1997-10-01,,,,313513.8,556665.3,1958965.7,0.0,3.5717,,,
1998-01-01,17345.0,87605.0,46.85,316365.0,561927.6,1971509.0,0.0,2.930100000000002,,,
1998-04-01,,,,319304.0,559488.2,1980275.1,0.0,6.239499999999998,,,
1998-07-01,,,,321564.6,562276.2,1992329.5,0.0,2.7291999999999983,,,
1998-10-01,,,,324659.0,559836.6,1994690.9,0.0,0.970800000000005,,,
1999-01-01,19070.0,90477.0,48.17,326569.6,566319.1,2016795.3,0.0,2.4190999999999963,,,
1999-04-01,,,,327139.4,566319.2,2025829.4,0.0,4.980600000000002,,,
1999-07-01,,,,332754.9,572871.0,2048848.3,0.0,1.0736999999999997,,,
1999-10-01,,,,337668.8,577262.1,2072713.1,0.0,0.32689999999999664,,,
2000-01-01,20575.0,91921.0,49.5,340388.0,585522.1,2098210.8,0.0,0.8611999999999953,,,
2000-04-01,,,,342450.6,590331.7,2117556.3,0.0,1.1361999999999983,,,
2000-07-01,,,,343455.4,590192.3,2129340.9,0.0,8.190299999999995,,,
2000-10-01,,,,344266.6,588380.0,2143812.5,0.0,16.150299999999994,,,
2001-01-01,21235.0,92858.0,50.66,348277.2,600212.0,2165302.7,1.0,27.005100000000006,,,
2001-04-01,,,,350966.9,599863.5,2166881.9,1.0,58.221999999999994,,,
2001-07-01,,,,353674.8,598887.7,2169074.4,1.0,83.83430000000001,,,
2001-10-01,,,,355061.7,598190.7,2171321.2,0.0,35.9217,,,
2002-01-01,22627.0,94791.0,52.25,356452.2,595054.0,2174006.8,0.0,22.878,,,
2002-04-01,,,,358198.7,597702.7,2185440.5,0.0,19.738599999999995,,,
2002-07-01,,,,360580.0,600630.2,2193689.5,0.0,16.638200000000005,,,
2002-10-01,,,,363426.9,599793.9,2198677.2,0.0,22.028800000000004,,,
2003-01-01,23146.0,96243.0,53.86,366132.2,590854.5,2191681.9,0.0,23.825799999999997,,,
2003-04-01,,,,369474.1,591551.5,2193457.2,0.0,5.577299999999996,,,
2003-07-01,,,,373682.7,596082.1,2204945.5,0.0,0.9495000000000031,,,
2003-10-01,,,,377159.2,597685.2,2221367.5,0.0,2.2133999999999987,,,
2004-01-01,24124.0,98505.0,55.11,378483.7,596657.2,2232424.1,0.0,3.196500000000002,,,
2004-04-01,,,,379876.7,599654.4,2246106.3,0.0,4.3,,,
2004-07-01,,,,380558.5,598539.2,2251483.9,0.0,4.2,,,
2004-10-01,,,,381513.8,597911.8,2260102.3,0.0,3.4,,,
2005-01-01,25027.0,99803.0,55.94,384555.2,597929.1,2265098.1,0.0,4.7,,,
2005-04-01,,,,389073.9,601065.8,2278581.0,0.0,4.8,,,
2005-07-01,,,,393177.4,606224.0,2295304.5,0.0,7.4,,,
2005-10-01,,,,398565.4,609081.9,2310053.4,0.0,7.1,,,
2006-01-01,26196.0,100602.0,56.4,400418.8,614972.0,2330497.6,0.0,3.4,,,
2006-04-01,,,,401500.9,625566.6,2356176.0,0.0,9.3,,,
2006-07-01,,,,401873.5,630375.9,2369778.9,0.0,9.1,,,
2006-10-01,,,,403746.8,639925.0,2397650.0,0.0,16.9,,,
2007-01-01,27406.0,101409.0,57.08,407553.3,640413.4,2412501.0,0.0,26.2,,,
2007-04-01,,,,409851.3,645780.4,2429507.8,0.0,9.5,,,
2007-07-01,,,,412986.5,648986.7,2440553.6,0.0,7.7,,,
2007-10-01,,,,415095.1,653308.1,2453194.3,1.0,26.9,,,
2008-01-01,27834.0,101522.0,57.51,417322.8,657420.6,2465439.4,1.0,38.4,,,
2008-04-01,,,,414987.5,655887.2,2457234.0,1.0,46.1,,,
2008-07-01,,,,408503.4,651635.4,2444347.4,1.0,88.4,,,
2008-10-01,,,,400086.1,641249.9,2400349.3,1.0,99.5,,,
2009-01-01,27791.0,102185.0,59.0,393329.4,611225.1,2325329.6,1.0,99.7,,,
2009-04-01,,,,392582.5,612201.0,2325453.8,1.0,84.6,,,
2009-07-01,,,,393068.0,615616.4,2334651.2,0.0,37.6,,,
2009-10-01,,,,394414.1,620147.1,2344430.5,0.0,7.7,,,
2010-01-01,29411.0,105235.0,60.41,396944.0,625148.7,2354372.3,0.0,5.4,,,
2010-04-01,,,,401031.9,639158.6,2377326.2,0.0,9.1,,,
2010-07-01,,,,403957.8,644525.6,2387526.8,0.0,5.3,,,
2010-10-01,,,,404093.3,649753.2,2401783.1,0.0,5.2,,,
2011-01-01,30254.0,106541.0,60.59,405552.3,662300.0,2423382.0,0.0,14.4,,,
2011-04-01,,,,405899.7,662857.6,2422634.2,0.0,10.3,,,
2011-07-01,,,,407265.0,668782.2,2426320.5,0.0,7.4,3.2445,2.2078,
2011-10-01,,,,407798.2,666691.2,2416253.3,0.0,4.0,5.1684,2.7515,
2012-01-01,,,,410623.4,668102.7,2411253.0,0.0,5.7,3.0151,2.0511,
2012-04-01,,,,410019.8,669357.4,2404476.8,0.0,7.9,0.2243,1.0819,
2012-07-01,,,,415017.9,671309.0,2402331.4,0.0,8.2,1.849,2.8247,
2012-10-01,,,,414119.0,668311.8,2391482.0,0.0,9.2,0.0776,2.2993,
2013-01-01,,,,416310.1,665192.4,2383491.2,0.0,30.5,2.8718,2.8073,
2013-04-01,,,,419657.3,672302.3,2395816.8,0.0,12.409999999999998,1.3,1.8,
2013-07-01,,,,423580.2,676205.7,2403235.7,0.0,3.3,2.3233,1.6695,
2013-10-01,,,,426299.4,678227.2,2410090.0,0.0,9.9,3.1249,3.9719,3.6
2014-01-01,,,,429573.5,684570.0,2419789.5,0.0,24.1,0.3489,2.2259,1.3
2014-04-01,,,,432370.0,684570.0,2424609.2,0.0,5.0,2.6666,2.1057,2.5062
2014-07-01,,,,434809.6,688264.3,2436585.8,0.0,1.6,2.6999,1.7064,3.1309
2014-10-01,,,,437355.1,693840.7,2445562.0,0.0,7.9,3.4918,4.0115,3.3005
2015-01-01,,,,439721.7,690181.2,2460783.4,0.0,13.3,0.0988,1.8945,0.1527
2015-04-01,,,,443005.4,695060.4,2472001.8,0.0,5.6,2.4328,2.6654,2.7426
2015-07-01,,,,444720.6,698545.4,2482865.1,0.0,10.0,1.0637,3.0844,3.0851
2015-10-01,,,,447638.7,701542.6,2494263.5,0.0,15.7,1.0179,1.8335,1.6947
2016-01-01,,,,448529.7,707275.8,2507763.6,0.0,22.5,0.6209,1.9166,1.241
2016-04-01,,,,450560.2,710203.3,2513288.3,0.0,12.2,1.8333,4.4642,2.6415
2016-07-01,,,,451936.8,712642.9,2526155.3,0.0,5.3,2.0953,2.6288,2.0673
2016-10-01,,,,454633.4,714873.4,2544633.0,0.0,8.4,2.8814,2.5235,1.9318
2017-01-01,,,,456888.8,723586.3,2562456.4,0.0,8.2,0.1699,0.119,1.2852
2017-04-01,,,,458227.1,729232.2,2581999.6,0.0,3.3,2.8194,2.8657,1.9902
2017-07-01,,,,460167.3,735644.9,2602889.4,0.0,2.4,2.7182,2.4809,1.7023
2017-10-01,,,,461800.9,741569.6,2623384.4,0.0,2.4,3.406,3.971,3.8439
2018-01-01,,,,462119.7,738363.3,2624784.9,0.0,2.7,1.9834,0.9799,1.1678
2018-04-01,,,,463887.9,742475.8,2637849.7,0.0,1.1,3.8225,3.1541,3.9265
2018-07-01,,,,466654.8,739339.1,2640700.2,0.0,1.5,3.5537,3.2477,1.463
2018-10-01,,,,467433.0,742196.9,2654381.2,0.0,2.4,1.8466,2.5354,1.7369
2019-01-01,,,,470015.0,750021.2,2674158.3,0.0,2.9,2.6711,1.1298,2.2852
2019-04-01,,,,470665.5,746326.8,2680329.2,0.0,3.9,1.3334,4.2411,2.4454
2019-07-01,,,,473006.0,749393.8,2687852.0,0.0,3.8,1.6752,2.7414,1.8224
2019-10-01,,,,473087.6,748836.2,2685692.2,0.0,32.5,1.7394,1.4483,2.1426
2020-01-01,,,,458804.7,735626.9,2591338.0,1.0,97.1,-0.9691,-1.0748,-0.2988
2020-04-01,,,,372766.5,662092.0,2287774.9,1.0,100.0,-32.0844,-32.4992,-30.1861
2020-07-01,,,,432422.1,721965.4,2580818.4,0.0,0.0,36.9708,37.3706,30.7327
2020-10-01,,,,,727332.4,2570187.4,0.0,0.4,7.16,3.7192,4.7631
2021-01-01,,,,,715082.5,2567700.5,0.0,0.2,7.8694,10.2993,9.3635
2021-04-01,,,,,730626.2,2620655.6,0.0,0.3,6.4265,10.4736,6.9602
2021-07-01,,,,,742824.3,2682200.4,0.0,1.2,0.195,0.4482,-1.7756
2021-10-01,,,,,740245.3,2692677.5,0.0,1.2,6.4986,2.0356,1.8643
2022-01-01,,,,,741987.8,2706088.4,0.0,37.4,0.3728,2.4072,0.9235
2022-04-01,,,,,,,,,-1.2002,1.5081,1.1183
2022-07-01,,,,,,,,,1.81,2.7205,2.1579
